Machine Tyoe,Air te1perature [K],Process temperature [K],Rotational speed [rp1],Torque [N1],Tool wear [1in],Machine Failure
0,297.9,309.8,1336,71.6,31,1
0,298.9,309,1410,65.7,191,1
1,298.1,308.2,1420,63.9,19,1
0,298.1,308.3,1331,63,13,1
0,298.4,308.3,1433,62.3,20,1
0,297.5,308.6,1208,62.3,28,0
0,296.8,308.1,1289,62,199,1
0,297.4,308.5,1399,61.5,61,1
1,297.8,309.2,1295,61.2,12,0
0,298.4,308.2,1282,60.7,216,1
1,298.4,308.7,1421,60.7,119,1
0,299,308.6,1329,60.5,120,1
1,296.7,307.8,1286,60.5,0,0
0,297.7,308.7,1249,60.4,143,1
1,,308.7,1376,59.9,74,0
0,297.3,308.6,1273,59.8,182,0
0,298.4,308.3,1318,59.1,22,1
0,297.4,308.6,1324,59.1,118,0
0,298,308.2,1348,58.8,202,1
1,297.8,309.4,1226,58.7,129,0
0,297.7,309.2,1365,58.6,170,0
0,296.8,308,1311,58.6,19,0
0,298.2,308.1,1306,58.3,35,1
1,297.5,309.4,1391,58.2,34,0
0,297.5,309.4,1318,58.2,146,0
0,297.4,308.8,1447,58.1,,0
1,298.4,310.1,1335,57.8,96,0
0,297.3,308.5,1350,57.6,186,0
0,297.6,308.4,1353,57.5,88,1
0,297.4,308.7,1429,57.4,96,0
1,297.4,308.9,1323,57.3,163,0
0,297.4,309,1324,56.9,173,0
0,298,308.3,1362,56.8,216,1
0,297.7,308.5,1373,56.7,203,1
0,296.8,307.9,1337,56.5,5,0
0,298,308.3,1405,56.2,218,1
0,298.1,308.3,1301,56,63,1
0,298.8,308.6,1268,55.8,155,1
1,297.5,309.2,1347,55.8,188,0
0,297.6,309,1354,55.6,46,0
1,297.9,309.9,1410,55.4,188,0
0,298.7,308.6,1297,55.3,148,1
0,297.6,308.4,1407,55.2,86,1
0,297.3,308.3,1333,55.2,11,0
0,298.9,309.1,1383,54.9,145,0
1,297.6,308.7,1408,54.8,147,1
0,298,308,1401,54.7,65,1
0,297,308.4,1305,54.6,168,0
0,298.8,309.2,1306,54.5,50,0
0,298.8,309.1,1378,54.4,165,0
0,296.8,308,1391,54.4,17,0
0,297.4,309.2,1274,54.3,121,0
0,298.8,309.2,1425,53.9,135,0
1,297.4,308.2,1424,53.9,120,1
0,296.9,308,1332,53.9,7,0
0,298.3,308.5,1362,53.8,164,1
0,296.8,308.2,1361,53.8,193,0
0,297.4,308.6,1276,53.6,103,0
1,296.1,307.1,1350,53.3,22,0
0,297.4,309.3,1332,53.2,115,0
1,297.6,309.6,1330,53.1,7,0
0,298.8,308.4,1369,53,138,1
